employee_id,department,role_level,tenure_years,salary_band,performance_rating,training_hours_annual,avg_overtime_hrs_week,job_satisfaction_score,work_life_balance_score,last_promotion_years_ago,attrition_flag
EMP-0012210,Sales,Director,9.0,Band 4,2.0,45,8.8,2.8,2.7,8.0,0
EMP-0012716,Operations,Individual Contributor,12.4,Band 6,4.2,32,13.5,1.6,2.5,9.6,0
EMP-0011653,Finance,Analyst,29.5,Band 3,4.6,107,14.8,2.8,3.4,10.0,1
EMP-0010308,Operations,VP,17.5,Band 4,3.3,62,6.9,3.7,3.9,9.9,1
EMP-0001798,Legal,Individual Contributor,6.5,Band 6,2.6,115,14.4,4.5,1.0,1.5,0
EMP-0007059,Legal,Analyst,0.9,Band 4,3.2,26,3.8,3.6,2.5,6.0,0
EMP-0011952,Operations,Analyst,16.8,Band 1,2.0,110,25.0,2.6,2.8,9.8,1
EMP-0006651,IT,Team Lead,20.1,Band 4,3.8,88,19.3,4.0,2.1,7.1,0
EMP-0005897,Customer Success,Team Lead,26.2,Band 2,4.5,109,19.1,3.4,4.1,6.0,0
EMP-0005414,HR,Analyst,4.3,Band 2,4.0,45,8.1,4.3,1.1,2.8,0
EMP-0011144,Finance,Individual Contributor,19.6,Band 2,3.8,111,8.0,3.9,1.6,9.8,0
EMP-0011151,Operations,Director,16.0,Band 2,1.5,118,1.2,1.9,2.8,7.0,0
EMP-0010873,HR,Individual Contributor,17.6,Band 2,4.4,19,18.6,2.2,2.0,6.4,1
EMP-0003160,Sales,Associate,0.5,Band 3,4.1,4,18.9,4.4,5.0,0.7,1
EMP-0010592,Product,Team Lead,27.6,Band 4,2.2,23,20.4,4.2,1.6,0.8,1
EMP-0000285,Engineering,Director,6.1,Band 1,3.1,8,15.0,4.1,3.4,8.2,0
EMP-0005977,Engineering,Analyst,5.4,Band 4,2.0,67,18.3,3.3,2.9,1.4,0
EMP-0000269,Legal,Senior Manager,3.1,Band 3,2.7,53,6.8,3.7,2.1,2.6,0
EMP-0002784,IT,Team Lead,19.7,Band 3,2.1,118,22.6,4.2,3.8,2.8,0
EMP-0014640,Sales,Director,12.7,Band 1,3.6,40,20.6,3.9,2.6,9.3,0
EMP-0006953,Sales,Analyst,4.5,Band 3,2.7,50,13.8,2.1,3.3,0.2,0
EMP-0012360,Product,Team Lead,9.5,Band 3,2.2,51,16.9,3.2,2.5,5.7,0
EMP-0014827,Customer Success,Director,22.6,Band 5,3.2,108,22.4,4.4,3.4,5.0,1
EMP-0013269,IT,Analyst,5.5,Band 1,3.5,120,8.4,5.0,2.6,8.0,0
EMP-0001671,IT,Individual Contributor,3.7,Band 5,3.4,29,21.5,4.3,3.0,0.5,0
EMP-0014020,Customer Success,Team Lead,13.0,Band 2,3.5,75,0.3,3.8,3.4,7.3,0
EMP-0004801,IT,Individual Contributor,11.1,Band 4,1.5,43,10.8,4.3,2.7,0.1,0
EMP-0012527,HR,Director,20.9,Band 5,2.9,101,12.4,2.5,2.6,2.5,0
EMP-0004506,Legal,Individual Contributor,21.0,Band 2,3.5,105,1.2,4.9,2.7,3.1,0
EMP-0004115,Marketing,VP,7.7,Band 1,1.8,16,20.9,2.7,5.0,2.2,1
EMP-0006032,Marketing,Associate,4.6,Band 3,4.6,19,10.8,1.8,2.9,2.7,1
EMP-0008788,Engineering,Manager,21.9,Band 2,3.1,18,20.2,2.1,2.0,4.2,0
EMP-0003045,Marketing,Analyst,28.4,Band 1,3.4,84,0.1,2.8,2.7,5.9,0
EMP-0012825,Sales,Associate,27.1,Band 3,1.5,107,20.3,2.3,3.1,8.6,1
EMP-0014446,Operations,Associate,28.5,Band 5,3.0,23,9.4,3.1,2.9,3.9,0
EMP-0011073,HR,Analyst,6.7,Band 1,3.1,28,22.2,3.3,1.6,6.3,1
EMP-0006925,Finance,Manager,1.9,Band 1,3.8,19,20.7,2.2,2.9,1.5,0
EMP-0009204,Operations,Analyst,7.4,Band 3,3.0,23,22.0,4.2,2.4,8.6,1
EMP-0013898,Legal,Director,11.7,Band 1,2.3,106,7.8,2.9,1.8,7.2,0
EMP-0011193,Product,Manager,6.8,Band 6,3.9,112,14.5,3.0,2.1,1.8,0
EMP-0004059,HR,Individual Contributor,8.9,Band 4,2.8,47,21.8,3.8,3.3,0.4,0
EMP-0014370,IT,Analyst,6.5,Band 2,2.4,79,22.9,2.2,1.5,3.5,1
EMP-0005301,IT,Associate,1.2,Band 1,1.9,29,9.8,3.4,3.9,7.0,1
EMP-0002754,Operations,Associate,29.1,Band 2,3.8,104,13.8,3.2,2.7,0.5,1
EMP-0007044,Engineering,VP,16.5,Band 2,2.1,75,6.9,1.4,1.2,7.0,0
EMP-0008480,Product,Analyst,20.8,Band 3,3.5,79,6.0,4.5,4.4,8.9,0
EMP-0010058,Product,Associate,14.2,Band 3,2.4,72,1.2,4.0,4.0,0.3,0
EMP-0010970,Finance,VP,21.2,Band 2,2.0,70,9.0,1.5,3.6,7.3,0
EMP-0003175,Finance,Associate,25.1,Band 1,2.3,7,22.8,4.3,4.2,4.5,0
EMP-0006653,Operations,VP,7.3,Band 1,3.8,105,18.5,4.0,3.2,2.5,0
EMP-0012722,Customer Success,Team Lead,28.4,Band 1,4.7,94,5.1,2.0,3.8,9.9,0
EMP-0002644,Legal,Team Lead,2.2,Band 4,3.5,85,13.7,3.1,2.8,6.6,0
EMP-0013221,IT,Associate,5.5,Band 3,4.1,46,13.3,3.2,3.3,3.3,1
EMP-0011715,Legal,Analyst,15.9,Band 5,2.0,33,21.1,3.8,4.5,4.5,1
EMP-0007544,Legal,Manager,7.8,Band 5,4.5,2,7.7,1.7,3.0,7.1,0
EMP-0010650,Marketing,Analyst,4.1,Band 2,3.7,38,8.4,2.2,2.1,4.6,0
EMP-0003814,Marketing,Senior Manager,26.0,Band 4,3.0,42,9.4,3.8,3.6,9.5,0
EMP-0000199,Operations,Senior Manager,4.7,Band 5,2.3,23,23.8,1.7,3.7,0.8,0
EMP-0001090,Product,Manager,16.9,Band 1,3.2,44,20.8,2.5,4.0,0.1,0
EMP-0010498,Customer Success,Team Lead,3.8,Band 3,2.9,81,23.7,4.3,2.6,6.6,0
EMP-0005557,IT,Director,6.6,Band 4,3.8,55,15.1,4.2,2.0,5.0,0
EMP-0003420,Sales,Team Lead,20.5,Band 3,4.8,56,20.5,3.4,3.9,9.7,0
EMP-0001758,Sales,Associate,17.5,Band 2,3.6,108,17.8,4.6,4.7,1.4,0
EMP-0012708,Customer Success,Individual Contributor,23.1,Band 3,3.5,90,13.0,3.4,4.4,0.7,0
EMP-0011602,IT,Team Lead,6.6,Band 2,2.1,88,23.1,2.3,2.6,5.4,1
EMP-0006475,Engineering,Analyst,3.7,Band 2,4.3,99,19.5,2.9,4.8,9.6,1
EMP-0004807,HR,Analyst,25.6,Band 2,4.2,98,8.0,3.3,1.0,2.1,0
EMP-0003695,Product,Manager,5.9,Band 6,3.0,113,7.5,4.0,3.8,4.7,0
EMP-0009722,Legal,Associate,19.3,Band 4,3.1,54,21.5,3.6,2.3,9.6,0
EMP-0012734,Engineering,Associate,10.2,Band 2,4.9,12,16.3,2.9,2.7,0.9,0
EMP-0012070,Marketing,Senior Manager,24.8,Band 5,2.1,63,24.7,2.9,3.7,4.8,0
EMP-0011722,Sales,Individual Contributor,7.1,Band 5,2.2,84,21.2,2.7,3.8,0.9,0
EMP-0007326,Product,Analyst,21.5,Band 1,4.4,6,18.9,3.1,2.0,9.0,0
EMP-0000892,Engineering,Manager,17.2,Band 5,1.8,88,2.8,3.1,4.2,9.0,0
EMP-0000270,Legal,Senior Manager,15.9,Band 3,3.0,120,4.8,2.0,4.5,5.3,1
EMP-0003992,Sales,VP,14.6,Band 1,3.8,113,12.9,2.7,4.1,3.9,0
EMP-0013344,Product,Manager,18.6,Band 1,4.9,119,6.5,2.5,4.1,0.8,0
EMP-0004200,Legal,VP,18.7,Band 6,2.5,9,17.9,4.1,2.9,6.4,0
EMP-0014380,Legal,Associate,13.1,Band 1,4.0,29,6.9,3.6,4.9,4.0,0
EMP-0003031,Legal,Team Lead,12.0,Band 1,1.9,67,7.1,3.4,1.7,7.2,0
EMP-0012641,Legal,Manager,20.4,Band 2,2.3,63,8.8,3.4,3.2,4.5,1
EMP-0001978,Engineering,Senior Manager,23.3,Band 1,2.6,85,10.7,3.1,1.0,0.2,0
EMP-0010364,Marketing,Senior Manager,20.9,Band 1,4.7,38,5.5,3.5,2.6,5.1,0
EMP-0001326,Engineering,Director,3.4,Band 4,5.0,77,23.0,3.4,3.1,6.5,0
EMP-0014602,Product,Director,29.9,Band 2,1.9,94,10.9,2.4,1.2,3.5,0
EMP-0013593,Product,Associate,2.5,Band 2,2.9,70,15.1,5.0,3.9,9.8,0
EMP-0013468,Engineering,Director,7.5,Band 5,3.1,53,17.2,2.8,3.9,7.9,1
EMP-0013939,Sales,Manager,15.8,Band 1,2.5,80,6.0,4.3,2.6,1.5,0
EMP-0001777,Customer Success,VP,20.3,Band 3,4.1,64,10.5,3.6,4.5,1.5,0
EMP-0009672,Engineering,VP,5.3,Band 3,2.7,91,16.3,4.1,2.1,1.4,0
EMP-0007919,Sales,Team Lead,18.3,Band 2,3.8,30,13.1,2.7,2.2,6.2,1
EMP-0012724,Customer Success,VP,20.9,Band 2,2.4,73,22.8,2.8,4.0,4.7,0
EMP-0007289,Finance,VP,17.4,Band 1,2.4,79,17.7,3.7,3.2,9.6,0
EMP-0007970,Product,Manager,7.2,Band 1,2.3,37,17.2,3.3,2.3,7.0,0
EMP-0007178,Operations,Director,14.7,Band 6,2.8,70,17.8,4.7,2.5,5.3,0
EMP-0002241,Customer Success,Associate,28.1,Band 4,4.0,12,8.4,4.1,1.4,7.0,1
EMP-0002555,Customer Success,Director,4.8,Band 4,2.1,32,24.2,3.3,1.3,7.5,1
EMP-0007730,Operations,Associate,7.7,Band 3,4.0,38,5.6,4.1,2.3,9.4,1
EMP-0003950,Finance,Director,15.4,Band 2,2.2,14,18.2,1.0,3.6,6.1,0
EMP-0002383,Customer Success,Team Lead,4.6,Band 4,4.7,63,15.8,4.0,3.3,9.7,0
EMP-0005263,Engineering,Team Lead,15.3,Band 3,2.1,117,14.6,2.7,3.0,9.5,0
EMP-0014054,Product,Associate,23.3,Band 2,2.5,111,24.7,3.4,1.9,4.1,1
EMP-0012185,HR,Team Lead,10.1,Band 1,4.2,75,23.8,3.4,4.0,5.6,1
EMP-0000162,Product,Associate,26.5,Band 1,2.1,92,8.7,5.0,3.1,5.5,0
EMP-0008606,Engineering,VP,1.7,Band 1,4.6,30,5.6,3.6,3.7,1.7,0
EMP-0004874,Sales,Analyst,1.5,Band 3,1.6,39,11.6,3.7,3.1,7.9,0
EMP-0002546,Finance,Team Lead,28.5,Band 5,2.4,3,8.1,3.0,3.0,5.0,0
EMP-0002249,Engineering,Senior Manager,20.6,Band 2,4.0,113,6.5,1.6,2.9,6.3,0
EMP-0010815,IT,Director,26.4,Band 4,2.2,78,19.1,2.6,3.1,6.1,0
EMP-0007086,Marketing,Director,23.9,Band 6,4.0,35,1.0,2.5,4.1,3.6,0
EMP-0007575,Product,Analyst,16.3,Band 2,1.9,107,24.2,4.5,3.9,8.9,0
EMP-0013040,Legal,VP,1.2,Band 3,3.8,74,10.4,2.5,3.7,5.5,0
EMP-0007860,HR,Associate,7.5,Band 5,3.2,46,20.2,3.5,3.8,4.1,0
EMP-0011011,Product,Director,2.1,Band 4,3.4,13,12.8,2.8,3.3,0.0,0
EMP-0000073,Marketing,Senior Manager,21.6,Band 5,1.5,72,1.8,2.1,4.2,6.8,0
EMP-0004550,IT,Senior Manager,5.5,Band 2,2.2,64,5.7,2.5,3.6,8.0,0
EMP-0004188,IT,Individual Contributor,4.6,Band 1,2.0,106,23.2,3.3,2.5,4.0,0
EMP-0010593,Marketing,Director,10.7,Band 1,5.0,111,0.3,3.8,3.6,7.9,0
EMP-0003703,Operations,Associate,7.2,Band 1,4.7,44,4.8,3.2,4.3,7.9,0
EMP-0014418,Operations,Team Lead,8.0,Band 3,1.7,105,17.6,2.9,3.6,0.0,0
EMP-0001424,Engineering,VP,19.6,Band 5,3.6,99,24.8,3.6,4.0,8.9,1
EMP-0012812,Product,Individual Contributor,13.1,Band 1,3.7,60,21.8,3.1,1.7,6.2,0
EMP-0010965,Customer Success,Senior Manager,18.8,Band 1,4.0,100,0.8,1.2,3.7,1.2,0
EMP-0004324,Marketing,Individual Contributor,8.9,Band 4,3.3,72,9.5,3.4,1.3,1.1,0
EMP-0005616,Finance,VP,22.7,Band 2,2.6,91,6.1,2.6,4.7,5.4,1
EMP-0003674,Finance,Director,10.1,Band 4,4.0,39,13.7,2.6,3.5,0.1,0
EMP-0005989,Finance,Manager,2.4,Band 3,2.3,94,12.2,4.0,2.8,5.5,0
EMP-0005576,Engineering,Individual Contributor,28.9,Band 1,3.9,43,13.1,2.7,3.2,4.1,0
EMP-0001880,Engineering,Individual Contributor,26.5,Band 4,2.5,53,10.0,4.1,1.8,9.3,0
EMP-0014512,HR,Director,11.2,Band 3,4.9,10,11.9,4.7,4.1,4.6,0
EMP-0003909,Customer Success,Senior Manager,29.0,Band 5,2.3,40,20.8,2.6,2.2,7.8,0
EMP-0004728,Operations,Director,19.4,Band 3,3.8,95,7.5,2.8,1.0,2.9,1
EMP-0013185,Sales,Manager,28.6,Band 5,2.4,25,24.0,2.5,1.6,4.5,1
EMP-0001341,Sales,Individual Contributor,13.1,Band 4,4.6,40,16.0,2.7,3.8,6.0,0
EMP-0005334,Customer Success,Individual Contributor,13.4,Band 1,2.2,2,6.0,3.5,5.0,8.3,1
EMP-0011975,Legal,Manager,22.3,Band 1,1.9,76,18.1,3.5,2.2,4.9,0
EMP-0002986,Finance,VP,22.3,Band 1,2.4,20,23.7,2.8,3.5,1.9,0
EMP-0003617,Marketing,Team Lead,16.2,Band 4,1.9,40,17.4,1.5,2.0,7.2,1
EMP-0008698,Engineering,Director,20.0,Band 2,4.6,49,10.7,4.5,3.5,9.3,0
EMP-0002920,Operations,Director,18.8,Band 3,4.8,25,24.6,3.1,3.3,4.5,1
EMP-0013107,Customer Success,Associate,23.6,Band 5,3.6,11,7.6,4.3,3.7,9.9,0
EMP-0004932,Customer Success,Team Lead,7.8,Band 1,3.3,11,18.7,2.9,5.0,9.0,0
EMP-0009768,Product,Individual Contributor,3.3,Band 1,1.5,31,2.6,2.4,3.1,5.9,1
EMP-0012999,Sales,Individual Contributor,13.5,Band 5,1.7,12,11.4,3.0,3.4,2.6,0
EMP-0001789,Legal,Associate,21.2,Band 1,3.8,25,24.2,4.9,1.9,9.2,0
EMP-0006192,Operations,Individual Contributor,10.1,Band 1,4.1,107,4.2,2.8,3.0,7.1,0
EMP-0001987,IT,Associate,15.6,Band 3,4.4,23,0.3,2.9,1.0,6.0,0
EMP-0004560,Customer Success,Manager,17.7,Band 1,1.8,34,7.1,2.4,3.7,3.0,0
EMP-0006909,Marketing,Manager,1.6,Band 6,3.5,16,24.5,4.3,2.7,4.7,0
EMP-0006792,HR,Manager,18.6,Band 3,3.0,71,24.5,3.6,5.0,3.2,0
EMP-0000308,IT,Analyst,17.1,Band 4,3.7,30,0.7,3.5,2.3,7.4,0
EMP-0000526,Customer Success,Director,17.2,Band 1,3.3,23,18.9,4.6,3.0,7.5,0
EMP-0008909,IT,Director,6.5,Band 1,1.9,52,3.9,3.4,5.0,3.5,0
EMP-0001795,Finance,Director,16.5,Band 4,1.5,52,23.5,2.9,3.0,8.2,0
EMP-0000414,Sales,Manager,6.3,Band 6,2.3,112,23.0,3.3,2.9,3.4,1
EMP-0001476,Product,Associate,7.7,Band 4,3.9,36,9.6,4.5,2.7,8.9,0
EMP-0007949,Customer Success,Individual Contributor,1.7,Band 4,2.7,22,17.3,2.1,3.6,5.1,0
EMP-0010437,HR,Manager,19.8,Band 4,4.1,80,23.7,2.4,3.4,0.2,0
EMP-0002453,Customer Success,Individual Contributor,9.3,Band 3,2.4,55,4.3,3.8,2.6,4.7,0
EMP-0001066,Marketing,Senior Manager,0.9,Band 4,4.7,102,8.4,1.3,2.2,5.2,1
EMP-0000640,Finance,Manager,22.5,Band 2,3.6,2,10.6,4.2,1.7,3.9,0
EMP-0009160,Product,Team Lead,12.6,Band 1,3.0,94,14.4,3.1,3.5,4.8,0
EMP-0010188,IT,Senior Manager,5.8,Band 1,4.2,68,10.7,3.1,2.7,1.5,0
EMP-0007658,HR,VP,16.6,Band 1,3.4,74,3.2,3.5,3.4,0.8,1
EMP-0008493,Legal,Manager,17.0,Band 3,1.6,98,18.7,4.1,1.8,9.9,0
EMP-0008359,HR,Senior Manager,14.0,Band 1,4.6,104,5.3,2.4,4.1,7.9,1
EMP-0013453,IT,Associate,18.4,Band 2,3.4,78,8.8,1.8,3.2,6.2,1
EMP-0003731,IT,Associate,24.2,Band 1,3.1,44,15.7,3.9,3.5,0.9,0
EMP-0004470,Product,Manager,14.1,Band 2,1.6,42,7.9,5.0,2.3,4.0,0
EMP-0012031,Marketing,VP,19.1,Band 2,2.7,59,18.1,3.0,2.1,0.8,0
EMP-0010373,Sales,Analyst,9.1,Band 1,2.9,111,14.9,2.2,1.9,2.2,1
EMP-0006930,Legal,Manager,8.6,Band 1,3.8,25,2.3,3.4,3.7,1.4,0
EMP-0012668,Operations,Analyst,25.4,Band 1,4.6,20,12.4,2.1,3.1,6.4,1
EMP-0014406,IT,Associate,9.0,Band 4,3.8,115,19.5,3.3,3.3,3.4,0
EMP-0004063,Sales,Manager,9.6,Band 2,2.0,30,19.1,2.6,1.5,3.3,0
EMP-0003859,Sales,Team Lead,27.7,Band 2,4.2,63,8.0,3.8,3.5,1.5,1
EMP-0001609,IT,Director,3.6,Band 5,1.7,58,15.2,3.2,4.0,2.7,0
EMP-0010499,IT,Manager,26.0,Band 2,2.9,33,12.1,3.2,1.0,6.0,0
EMP-0012304,Finance,Associate,28.5,Band 5,4.2,55,4.3,2.5,3.3,7.5,0
EMP-0009350,Engineering,Director,25.4,Band 2,4.6,114,4.7,4.5,2.3,8.8,0
EMP-0002268,Operations,VP,25.4,Band 4,4.9,35,21.4,3.2,1.8,6.4,1
EMP-0004166,Legal,Analyst,20.0,Band 2,3.8,22,4.8,1.4,5.0,9.4,1
EMP-0013878,Marketing,Associate,11.3,Band 6,1.9,83,22.9,2.7,1.6,9.6,0
EMP-0004833,HR,VP,16.2,Band 2,3.1,108,5.3,3.4,4.1,1.2,0
EMP-0001110,HR,Manager,7.0,Band 4,4.7,13,15.1,3.8,2.7,6.7,0
EMP-0005093,Operations,VP,11.3,Band 6,4.4,49,18.4,4.4,1.8,5.6,0
EMP-0005294,Product,Team Lead,2.2,Band 3,3.8,100,3.7,3.4,4.1,0.8,0
EMP-0012793,IT,Analyst,24.6,Band 5,2.5,84,4.0,3.2,1.9,3.1,0
EMP-0002006,Customer Success,Analyst,27.8,Band 2,4.8,61,6.8,3.7,1.2,2.1,0
EMP-0007307,Marketing,VP,2.4,Band 3,2.5,107,21.2,3.3,3.5,2.5,0
EMP-0012922,HR,VP,26.6,Band 4,2.9,74,24.4,1.6,2.7,3.8,1
EMP-0010624,Operations,Analyst,26.3,Band 1,2.9,13,10.4,1.7,2.7,4.6,0
EMP-0002023,Customer Success,Individual Contributor,17.8,Band 3,3.8,19,18.0,5.0,2.8,8.6,1
EMP-0007901,Legal,Senior Manager,11.3,Band 1,3.2,41,19.8,2.8,4.8,2.7,0
EMP-0000151,Product,VP,22.2,Band 2,4.7,98,15.4,5.0,4.4,3.4,0
EMP-0008702,Marketing,Director,12.4,Band 2,4.5,59,16.9,2.6,2.9,1.6,0
EMP-0005313,Product,Senior Manager,1.0,Band 3,4.2,114,17.0,4.3,3.6,7.2,0
EMP-0010431,Finance,Individual Contributor,23.0,Band 3,4.2,70,5.9,3.3,5.0,0.4,0
EMP-0000382,Engineering,VP,25.0,Band 1,4.5,33,19.6,2.9,3.3,5.7,1
EMP-0012918,Legal,VP,7.4,Band 3,3.2,2,7.2,3.2,2.6,3.7,0
EMP-0009515,Operations,VP,0.5,Band 3,4.3,52,11.3,2.0,3.2,5.6,0
EMP-0007166,Engineering,Individual Contributor,1.0,Band 1,4.3,118,5.5,2.5,2.5,3.0,1
EMP-0014696,HR,Team Lead,22.5,Band 2,4.7,14,8.3,1.8,2.3,9.7,1
EMP-0003613,Legal,Analyst,16.4,Band 2,1.6,50,1.8,2.6,3.1,5.4,1
EMP-0004482,Marketing,Senior Manager,28.5,Band 4,2.0,111,19.3,4.8,3.5,8.8,1
EMP-0009560,IT,VP,8.6,Band 5,3.6,57,2.9,3.4,3.8,6.3,0
EMP-0007727,Finance,Senior Manager,15.8,Band 5,3.3,5,4.1,3.6,3.1,8.8,0
EMP-0008769,Legal,VP,15.2,Band 4,2.6,85,2.4,3.0,1.9,7.8,0
EMP-0000462,Sales,Team Lead,21.0,Band 1,2.1,69,7.5,2.9,1.1,0.1,0
EMP-0004383,Product,Manager,22.4,Band 4,1.7,84,7.8,1.9,2.1,2.4,0
EMP-0004456,IT,VP,28.5,Band 4,4.9,39,5.4,3.9,3.6,8.5,0
EMP-0003567,Engineering,Individual Contributor,9.0,Band 2,2.6,97,13.9,2.5,3.9,0.5,0
EMP-0012561,Marketing,Associate,29.4,Band 1,2.9,70,14.6,3.3,1.9,1.6,1
EMP-0011676,IT,Director,22.3,Band 4,3.1,20,4.3,2.9,3.4,1.0,0
EMP-0004720,Engineering,Associate,7.5,Band 2,2.5,26,19.3,2.8,4.7,6.1,1
EMP-0003689,HR,Analyst,23.1,Band 1,1.7,101,17.7,3.4,3.6,6.7,0
EMP-0014484,Finance,Analyst,16.4,Band 1,3.1,99,23.1,3.5,2.7,4.9,0
EMP-0009776,Sales,Individual Contributor,8.9,Band 3,4.8,93,13.7,2.6,2.4,6.8,0
EMP-0008563,Operations,Manager,25.9,Band 4,2.1,67,13.3,2.2,1.5,7.9,0
EMP-0011797,IT,Team Lead,17.4,Band 3,2.3,101,6.5,3.1,4.1,7.8,0
EMP-0009643,Legal,Individual Contributor,20.1,Band 5,3.5,66,8.8,3.1,3.3,4.4,0
EMP-0010511,Operations,Director,20.1,Band 4,2.7,46,23.1,5.0,3.0,7.0,1
EMP-0005459,IT,Team Lead,18.3,Band 2,4.2,16,12.2,3.5,2.9,4.7,0
EMP-0005946,Product,Manager,11.2,Band 2,2.9,5,12.5,4.3,2.9,8.8,0
EMP-0009738,Sales,Associate,19.0,Band 4,3.6,89,15.8,2.6,3.1,0.7,1
EMP-0003368,Legal,Analyst,9.9,Band 2,3.5,74,7.3,3.0,2.9,3.5,1
EMP-0012250,Operations,Senior Manager,26.1,Band 1,2.2,49,4.0,2.0,3.4,4.8,1
EMP-0009471,Customer Success,Individual Contributor,22.8,Band 5,4.3,53,15.1,3.1,2.3,6.9,0
EMP-0012493,Marketing,VP,25.4,Band 2,3.4,91,12.3,4.1,3.2,7.4,0
EMP-0014231,Operations,Team Lead,0.5,Band 6,4.3,100,6.0,3.0,2.6,0.9,0
EMP-0003514,Product,Analyst,11.2,Band 2,1.9,107,17.9,2.2,4.6,9.0,0
EMP-0001374,Legal,Manager,23.5,Band 2,4.3,89,15.4,1.4,3.0,7.7,1
